CROP,Cultivar,TBD,TP1D,TP2D,TCD,tuSOWEMR,tuEMRTLM,tuTLMBSG,tuBSGTSG,tuTSGMAT,phyl,PLACON,PLAPOW,SLA,TBRUE,TP1RUE,TP2RUE,TCRUE,KPAR,IRUE,FLF1A,FLF1B,WTOPL,FLF2,FRTRL,GCC
NAME,NAME,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC / leaf,-,-,m2 / g,oC,oC,oC,oC,-,g / MJ,g / g,g / g,g / m-2,g / g,-,-
Wheat,Tajan,0,24,28,40,140,724,446,588,285,112,1,2.464,0.021,0,15,22,35,0.65,2.2,0.6,0.3,160,0.1,0.22,1
Chickpea,Hashem,2,21,30,40,70,1590,100,450,100,46,1,2.158,0.021,2,14,30,38,0.65,1.8,0.53,0.3,180,0.13,0.22,1
Soybean,MG III-Will.,7,27,34,45,70,940,190,700,240,45,1,3.11,0.025,10,20,30,40,0.65,2,0.7,0.4,150,0.1,0.22,0.77
